
°­¼öÀÏ¼ö
ÁöÁ¡/Áö¿ª¸í : °­¸ª

Æò±Õ °­¼öÀÏ¼ö
¿¬µµ,1¿ù,2¿ù,3¿ù,4¿ù,5¿ù,6¿ù,7¿ù,8¿ù,9¿ù,10¿ù,11¿ù,12¿ù,¿¬ÇÕ°è,¼øÀ§
1911,,,,,,,,,,,1.0,1.0,,
1912,7.0,10.0,11.0,6.0,11.0,14.0,15.0,13.0,11.0,7.0,2.0,7.0,114.0,42
1913,4.0,1.0,1.0,9.0,16.0,10.0,17.0,9.0,3.0,10.0,6.0,5.0,91.0,107
1914,6.0,7.0,12.0,11.0,5.0,10.0,9.0,16.0,9.0,13.0,6.0,7.0,111.0,52
1915,10.0,6.0,7.0,9.0,13.0,10.0,13.0,15.0,17.0,11.0,5.0,1.0,117.0,30
1916,8.0,13.0,5.0,15.0,12.0,12.0,13.0,18.0,14.0,9.0,8.0,4.0,131.0,10
1917,4.0,8.0,11.0,6.0,10.0,8.0,12.0,15.0,16.0,9.0,4.0,3.0,106.0,73
1918,2.0,11.0,11.0,8.0,11.0,7.0,17.0,14.0,9.0,6.0,8.0,5.0,109.0,61
1919,11.0,3.0,8.0,8.0,9.0,15.0,11.0,10.0,13.0,10.0,5.0,7.0,110.0,56
1920,7.0,12.0,12.0,6.0,10.0,13.0,16.0,21.0,18.0,7.0,12.0,10.0,144.0,4
1921,11.0,7.0,8.0,13.0,14.0,16.0,20.0,18.0,12.0,7.0,5.0,4.0,135.0,8
1922,6.0,9.0,9.0,7.0,10.0,0.0,14.0,15.0,12.0,8.0,6.0,2.0,98.0,97
1923,10.0,7.0,10.0,10.0,15.0,7.0,18.0,14.0,10.0,8.0,8.0,3.0,120.0,20
1924,9.0,8.0,6.0,10.0,10.0,13.0,13.0,9.0,10.0,6.0,6.0,5.0,105.0,77
1925,5.0,6.0,8.0,8.0,14.0,11.0,19.0,16.0,13.0,3.0,11.0,8.0,122.0,16
1926,9.0,3.0,7.0,11.0,16.0,4.0,17.0,12.0,14.0,7.0,3.0,4.0,107.0,68
1927,4.0,3.0,12.0,8.0,12.0,4.0,11.0,14.0,10.0,7.0,5.0,8.0,98.0,96
1928,7.0,8.0,7.0,3.0,4.0,12.0,10.0,17.0,16.0,7.0,9.0,5.0,105.0,76
1929,3.0,8.0,9.0,9.0,14.0,9.0,8.0,9.0,8.0,4.0,4.0,15.0,100.0,93
1930,4.0,13.0,10.0,14.0,7.0,10.0,19.0,12.0,5.0,7.0,3.0,5.0,109.0,60
1931,8.0,7.0,7.0,10.0,4.0,15.0,21.0,15.0,5.0,3.0,11.0,11.0,117.0,29
1932,5.0,14.0,6.0,7.0,8.0,16.0,12.0,17.0,14.0,3.0,7.0,10.0,119.0,24
1933,8.0,3.0,11.0,9.0,13.0,13.0,20.0,16.0,13.0,13.0,6.0,12.0,137.0,7
1934,1.0,7.0,7.0,7.0,13.0,9.0,21.0,18.0,12.0,6.0,5.0,9.0,115.0,39
1935,7.0,1.0,9.0,10.0,8.0,15.0,15.0,18.0,10.0,9.0,13.0,4.0,119.0,23
1936,1.0,6.0,5.0,15.0,9.0,11.0,12.0,23.0,11.0,5.0,5.0,7.0,110.0,55
1937,6.0,10.0,10.0,7.0,10.0,13.0,11.0,9.0,8.0,7.0,9.0,3.0,103.0,84
1938,1.0,2.0,15.0,3.0,15.0,16.0,12.0,14.0,6.0,13.0,4.0,5.0,106.0,72
1939,3.0,8.0,12.0,10.0,12.0,12.0,7.0,13.0,9.0,7.0,7.0,0.0,100.0,92
1940,5.0,9.0,7.0,9.0,7.0,11.0,22.0,13.0,10.0,6.0,3.0,7.0,109.0,59
1941,8.0,6.0,9.0,7.0,10.0,13.0,18.0,18.0,8.0,6.0,10.0,4.0,117.0,28
1942,3.0,6.0,9.0,8.0,8.0,8.0,8.0,18.0,11.0,2.0,1.0,5.0,87.0,111
1943,0.0,5.0,10.0,5.0,10.0,11.0,12.0,8.0,13.0,10.0,5.0,4.0,93.0,104
1944,2.0,3.0,10.0,9.0,9.0,8.0,13.0,9.0,12.0,3.0,11.0,4.0,93.0,103
1945,1.0,3.0,11.0,4.0,15.0,14.0,21.0,14.0,13.0,9.0,6.0,0.0,111.0,51
1946,5.0,9.0,8.0,8.0,10.0,17.0,12.0,9.0,6.0,7.0,7.0,2.0,100.0,91
1947,10.0,3.0,6.0,5.0,4.0,17.0,19.0,16.0,11.0,7.0,3.0,4.0,105.0,75
1948,6.0,1.0,10.0,8.0,6.0,12.0,21.0,12.0,11.0,6.0,5.0,15.0,113.0,45
1949,4.0,12.0,5.0,7.0,5.0,16.0,15.0,9.0,11.0,5.0,6.0,1.0,96.0,100
1950,10.0,8.0,2.0,8.0,5.0,9.0,10.0,9.0,0.0,0.0,8.0,5.0,74.0,112
1951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,14.0,3.0,34.0,114
1952,1.0,10.0,6.0,9.0,6.0,9.0,18.0,12.0,13.0,7.0,10.0,6.0,107.0,67
1953,5.0,4.0,9.0,3.0,11.0,18.0,15.0,14.0,6.0,6.0,9.0,6.0,106.0,71
1954,14.0,11.0,11.0,7.0,7.0,20.0,23.0,15.0,12.0,9.0,13.0,3.0,145.0,2
1955,1.0,4.0,16.0,12.0,10.0,10.0,13.0,5.0,13.0,8.0,5.0,5.0,102.0,85
1956,5.0,7.0,17.0,6.0,8.0,16.0,19.0,10.0,12.0,5.0,3.0,3.0,111.0,50
1957,10.0,6.0,4.0,8.0,5.0,10.0,23.0,18.0,2.0,8.0,9.0,8.0,111.0,49
1958,5.0,9.0,5.0,10.0,4.0,11.0,17.0,18.0,13.0,10.0,11.0,12.0,125.0,15
1959,1.0,13.0,13.0,8.0,7.0,14.0,13.0,15.0,11.0,1.0,8.0,7.0,111.0,48
1960,3.0,5.0,13.0,9.0,10.0,9.0,16.0,12.0,13.0,11.0,6.0,4.0,111.0,47
1961,2.0,6.0,10.0,11.0,10.0,12.0,14.0,16.0,17.0,16.0,10.0,9.0,133.0,9
1962,8.0,3.0,10.0,5.0,2.0,14.0,14.0,16.0,18.0,7.0,13.0,5.0,115.0,38
1963,6.0,5.0,8.0,15.0,7.0,16.0,15.0,13.0,3.0,6.0,5.0,5.0,104.0,82
1964,11.0,9.0,7.0,16.0,6.0,11.0,16.0,14.0,16.0,6.0,6.0,2.0,120.0,19
1965,5.0,7.0,6.0,10.0,9.0,6.0,20.0,14.0,6.0,7.0,8.0,3.0,101.0,87
1966,2.0,10.0,13.0,7.0,6.0,10.0,19.0,16.0,17.0,11.0,3.0,3.0,117.0,27
1967,4.0,7.0,5.0,6.0,5.0,11.0,14.0,11.0,17.0,7.0,6.0,0.0,93.0,102
1968,0.0,5.0,7.0,2.0,9.0,9.0,16.0,14.0,6.0,14.0,4.0,9.0,95.0,101
1969,9.0,12.0,9.0,7.0,10.0,10.0,16.0,13.0,16.0,4.0,6.0,3.0,115.0,37
1970,3.0,5.0,4.0,3.0,11.0,12.0,16.0,20.0,16.0,9.0,5.0,3.0,107.0,66
1971,7.0,9.0,5.0,3.0,9.0,14.0,18.0,17.0,12.0,3.0,3.0,6.0,106.0,70
1972,14.0,12.0,11.0,8.0,10.0,5.0,8.0,12.0,10.0,10.0,11.0,4.0,115.0,36
1973,11.0,5.0,8.0,10.0,9.0,14.0,10.0,13.0,15.0,9.0,4.0,2.0,110.0,54
1974,4.0,9.0,8.0,9.0,10.0,10.0,23.0,10.0,6.0,6.0,5.0,9.0,109.0,58
1975,5.0,10.0,15.0,8.0,9.0,13.0,11.0,11.0,13.0,13.0,14.0,4.0,126.0,14
1976,1.0,14.0,9.0,8.0,4.0,13.0,14.0,19.0,9.0,11.0,6.0,8.0,116.0,33
1977,2.0,1.0,10.0,8.0,4.0,9.0,14.0,11.0,12.0,7.0,8.0,5.0,91.0,106
1978,7.0,8.0,8.0,7.0,4.0,16.0,13.0,18.0,10.0,11.0,7.0,8.0,117.0,26
1979,10.0,5.0,6.0,9.0,10.0,14.0,14.0,12.0,11.0,9.0,2.0,6.0,108.0,63
1980,7.0,3.0,10.0,12.0,7.0,7.0,19.0,25.0,8.0,11.0,3.0,4.0,116.0,32
1981,3.0,4.0,7.0,8.0,10.0,13.0,13.0,12.0,8.0,4.0,4.0,3.0,89.0,109
1982,5.0,8.0,9.0,8.0,9.0,11.0,9.0,13.0,1.0,4.0,9.0,4.0,90.0,108
1983,2.0,3.0,10.0,11.0,4.0,10.0,14.0,17.0,15.0,9.0,6.0,3.0,104.0,81
1984,2.0,5.0,6.0,11.0,6.0,10.0,12.0,17.0,10.0,3.0,9.0,6.0,97.0,99
1985,1.0,8.0,6.0,8.0,8.0,11.0,13.0,15.0,19.0,7.0,7.0,1.0,104.0,80
1986,2.0,5.0,6.0,6.0,8.0,13.0,20.0,12.0,6.0,12.0,3.0,7.0,100.0,90
1987,5.0,9.0,11.0,10.0,8.0,6.0,11.0,18.0,6.0,6.0,8.0,2.0,100.0,89
1988,5.0,8.0,5.0,6.0,7.0,12.0,22.0,11.0,13.0,7.0,8.0,0.0,104.0,79
1989,15.0,11.0,16.0,4.0,9.0,15.0,17.0,18.0,12.0,10.0,11.0,8.0,146.0,1
1990,4.0,16.0,10.0,8.0,16.0,13.0,20.0,9.0,11.0,7.0,9.0,4.0,127.0,12
1991,8.0,5.0,11.0,6.0,10.0,4.0,22.0,15.0,12.0,2.0,2.0,10.0,107.0,65
1992,8.0,3.0,12.0,10.0,10.0,7.0,11.0,24.0,14.0,13.0,5.0,9.0,126.0,13
1993,7.0,7.0,11.0,11.0,8.0,12.0,18.0,20.0,3.0,5.0,12.0,4.0,118.0,25
1994,7.0,3.0,4.0,5.0,8.0,8.0,12.0,10.0,9.0,8.0,9.0,4.0,87.0,110
1995,1.0,7.0,14.0,6.0,5.0,14.0,14.0,17.0,12.0,3.0,4.0,2.0,99.0,95
1996,6.0,6.0,12.0,6.0,9.0,15.0,18.0,14.0,5.0,10.0,9.0,4.0,114.0,41
1997,7.0,6.0,6.0,6.0,17.0,11.0,6.0,13.0,15.0,4.0,13.0,9.0,113.0,44
1998,10.0,14.0,3.0,13.0,9.0,15.0,25.0,21.0,10.0,10.0,9.0,5.0,144.0,3
1999,2.0,3.0,10.0,9.0,6.0,10.0,14.0,17.0,13.0,9.0,6.0,2.0,101.0,86
2000,12.0,2.0,4.0,7.0,13.0,13.0,11.0,15.0,13.0,5.0,7.0,4.0,106.0,69
2001,7.0,9.0,7.0,7.0,11.0,14.0,14.0,15.0,14.0,11.0,3.0,4.0,116.0,31
