강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 강릉
기간 : 1904~2025 01~12

년월,지점,강수량(mm)
1911-10,105,36.5
1911-11,105,32.7
1911-12,105,25.2
1912-01,105,52.3
1912-02,105,146.4
1912-03,105,43.4
1912-04,105,55.5
1912-05,105,61.3
1912-06,105,131.2
1912-07,105,346.1
1912-08,105,301.9
1912-09,105,79
1912-10,105,53.3
1912-11,105,7.3
1912-12,105,94.2
1913-01,105,63.4
1913-02,105,0.2
1913-03,105,3.7
1913-04,105,100.1
1913-05,105,122.5
1913-06,105,121.7
1913-07,105,232.5
1913-08,105,145.6
1913-09,105,12.9
1913-10,105,79.5
1913-11,105,19.3
1913-12,105,48.7
1914-01,105,93.2
1914-02,105,66.5
1914-03,105,120.8
