
[°Ë»öÁ¶°Ç]ÁöÁ¡ :°­¸ª , ±â°£ : 19610101 ~ 20251231
ÁöÁ¡¹øÈ£,ÁöÁ¡¸í,½ÃÀÛÀÏ,Á¾·áÀÏ,Àå¸¶ÀÏ¼ö,°­¼öÀÏ¼ö,ÇÕ°è°­¼ö·®
105,°­¸ª,1961-06-29,1961-07-14,16,11,49.8
105,°­¸ª,1962-07-03,1962-07-23,21,13,80.8
105,°­¸ª,1963-06-22,1963-07-29,38,22,321.6
105,°­¸ª,1964-07-01,1964-07-23,23,14,213
105,°­¸ª,1965-07-04,1965-07-30,27,20,470.5
105,°­¸ª,1966-06-24,1966-08-03,41,27,456.4
105,°­¸ª,1967-06-25,1967-07-23,29,18,218.3
105,°­¸ª,1968-06-28,1968-07-19,22,14,143.3
105,°­¸ª,1969-06-25,1969-08-10,47,28,428.9
105,°­¸ª,1970-06-14,1970-07-20,37,21,542.2
105,°­¸ª,1971-06-26,1971-07-26,31,22,190.1
105,°­¸ª,1972-06-25,1972-07-11,17,6,13.2
105,°­¸ª,1973-06-25,1973-06-30,6,5,118.8
105,°­¸ª,1974-06-17,1974-07-31,45,29,288.1
105,°­¸ª,1975-06-23,1975-07-29,37,14,355.1
105,°­¸ª,1976-06-21,1976-07-17,27,17,118.2
105,°­¸ª,1977-06-23,1977-07-19,27,15,137.5
105,°­¸ª,1978-06-17,1978-07-20,34,20,282.6
105,°­¸ª,1979-06-19,1979-07-23,35,20,286.8
105,°­¸ª,1980-06-16,1980-07-30,45,24,378.3
105,°­¸ª,1981-06-17,1981-07-14,28,16,287.4
105,°­¸ª,1982-07-10,1982-07-29,20,7,88.7
105,°­¸ª,1983-06-19,1983-07-25,37,18,258.9
105,°­¸ª,1984-06-15,1984-07-13,29,14,232.4
105,°­¸ª,1985-06-23,1985-07-17,25,15,113.2
105,°­¸ª,1986-06-23,1986-07-26,34,26,269.6
105,°­¸ª,1987-07-05,1987-08-10,37,17,476.6
105,°­¸ª,1988-06-23,1988-07-28,36,26,369.3
105,°­¸ª,1989-06-24,1989-07-30,37,21,332.4
105,°­¸ª,1990-06-19,1990-07-27,39,30,305.6

